	Description	KEGG Ontology
6666666.754255.peg.975	UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14)	KEGG_ENZYME:5.1.3.14
6666666.754255.peg.976	Ribonuclease BN (EC 3.1.-.-)	KEGG_ENZYME:3.1.-.-
6666666.754255.peg.977	Glycerol uptake facilitator protein	
6666666.754255.peg.978	UDP-galactopyranose mutase (EC 5.4.99.9)	KEGG_ENZYME:5.4.99.9
6666666.754255.peg.979	polysaccharide biosynthesis protein	
6666666.754255.peg.980	glycosyl transferase%2C group 1	
6666666.754255.peg.981	Membrane protein involved in the export of O-antigen%2C teichoic acid lipoteichoic acids	
6666666.754255.peg.982	Glycosyltransferase	
6666666.754255.peg.983	O-actetyl transferase related protein	
6666666.754255.peg.984	unnamed protein product	
6666666.754255.peg.985	glycosyl transferase group 1	
6666666.754255.peg.986	Alpha-L-Rha alpha-1%2C3-L-rhamnosyltransferase (EC 2.4.1.-)	KEGG_ENZYME:2.4.1.-
6666666.754255.peg.987	hypothetical protein	
6666666.754255.peg.988	Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)	KEGG_ENZYME:2.7.7.24
6666666.754255.peg.989	hypothetical protein	
6666666.754255.peg.990	dTDP-4-dehydrorhamnose 3%2C5-epimerase (EC 5.1.3.13)	KEGG_ENZYME:5.1.3.13
6666666.754255.peg.991	dTDP-glucose 4%2C6-dehydratase (EC 4.2.1.46)	KEGG_ENZYME:4.2.1.46
6666666.754255.peg.992	dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)	KEGG_ENZYME:1.1.1.133
6666666.754255.peg.993	transposase%2C fragment	
6666666.754255.peg.994	transposase%2C fragment (putative)	
6666666.754255.peg.995	hypothetical protein	
6666666.754255.peg.996	Mobile element protein	
6666666.754255.peg.997	integrase/recombinase%2C fragment (putative)	
6666666.754255.peg.998	Tyrosine-protein kinase transmembrane modulator EpsC	
6666666.754255.peg.999	Tyrosine-protein kinase (EC 2.7.10.2)	KEGG_ENZYME:2.7.10.2
6666666.754255.peg.1000	Manganese-dependent protein-tyrosine phosphatase (EC 3.1.3.48)	KEGG_ENZYME:3.1.3.48
6666666.754255.peg.1001	UDP-glucose 4-epimerase (EC 5.1.3.2)	KEGG_ENZYME:5.1.3.2
6666666.754255.peg.1002	Undecaprenyl-phosphate galactosephosphotransferase (EC 2.7.8.6)	KEGG_ENZYME:2.7.8.6
6666666.754255.peg.1003	Exopolysaccharide biosynthesis glycosyltransferase EpsF (EC 2.4.1.-)	KEGG_ENZYME:2.4.1.-
6666666.754255.peg.1004	glycosyltransferase	
6666666.754255.peg.1005	FIG00748679: hypothetical protein	
6666666.754255.peg.1006	glycosyltransferase	
6666666.754255.peg.1007	hypothetical protein	
6666666.754255.peg.1008	hypothetical protein	
6666666.754255.peg.1009	Mobile element protein	
6666666.754255.peg.1010	Mobile element protein	
6666666.754255.peg.1011	Mobile element protein	
6666666.754255.peg.1012	internalin%2C putative (LPXTG motif)	
6666666.754255.peg.1013	internalin%2C putative (LPXTG motif)	
6666666.754255.peg.1014	Predicted transcriptional regulators	
6666666.754255.peg.1015	Mobile element protein	
6666666.754255.peg.1016	Mobile element protein	
6666666.754255.peg.1017	Membrane protein involved in the export of O-antigen%2C teichoic acid lipoteichoic acids	
6666666.754255.peg.1018	Undecaprenyl-phosphate galactosephosphotransferase (EC 2.7.8.6)	KEGG_ENZYME:2.7.8.6
6666666.754255.peg.1019	FIG00742521: hypothetical protein	
6666666.754255.peg.1020	Small conserved protein	
6666666.754255.peg.1021	FIG00746819: hypothetical protein	
6666666.754255.peg.1022	FIG00753785: hypothetical protein	
6666666.754255.peg.1023	RpoE%2C DNA-directed RNA polymerase specialized sigma subunit%2C sigma24-like	
6666666.754255.peg.1024	FIG00747578: hypothetical protein	
6666666.754255.peg.1025	Regulatory protein RecX	
6666666.754255.peg.1026	DUF402 family nucleoside diphosphatase	
6666666.754255.peg.1027	P60 extracellular protein%2C invasion associated protein Iap	
6666666.754255.peg.1028	Rad protein	
6666666.754255.peg.1029	FIG00749209: hypothetical protein	
6666666.754255.peg.1030	L-lactate dehydrogenase (EC 1.1.1.27)	KEGG_ENZYME:1.1.1.27
6666666.754255.peg.1031	UPF0118 membrane protein YueF	
6666666.754255.peg.1032	Glycerol-3-phosphate cytidylyltransferase (EC 2.7.7.39)	KEGG_ENZYME:2.7.7.39
6666666.754255.peg.1033	Gluconate permease%2C Bsu4004 homolog	
6666666.754255.peg.1034	Gluconokinase (EC 2.7.1.12)	KEGG_ENZYME:2.7.1.12
6666666.754255.peg.1035	6-phosphogluconate dehydrogenase%2C decarboxylating (EC 1.1.1.44)	KEGG_ENZYME:1.1.1.44
6666666.754255.peg.1036	similar to glutathione reductase	
6666666.754255.peg.1037	Peptide chain release factor 3	
6666666.754255.peg.1038	FIG00744568: hypothetical protein	
6666666.754255.peg.1039	FIG00744568: hypothetical protein	
6666666.754255.peg.1040	FIG00742213: hypothetical protein	
6666666.754255.peg.1041	Transcriptional regulator%2C LysR family	
6666666.754255.peg.1042	Uncharacterized integral membrane protein SSO0015	
6666666.754255.peg.1043	hypothetical protein	
6666666.754255.peg.1044	hypothetical protein	
6666666.754255.peg.1045	Oligopeptide ABC transporter%2C substrate-binding protein OppA (TC 3.A.1.5.1)	
6666666.754255.peg.1046	Oligopeptide ABC transporter%2C permease protein OppB (TC 3.A.1.5.1)	
6666666.754255.peg.1047	Oligopeptide ABC transporter%2C permease protein OppC (TC 3.A.1.5.1)	
6666666.754255.peg.1048	Oligopeptide ABC transporter%2C ATP-binding protein OppD (TC 3.A.1.5.1)	
6666666.754255.peg.1049	Oligopeptide ABC transporter%2C ATP-binding protein OppF (TC 3.A.1.5.1)	
6666666.754255.peg.1050	hypothetical protein	
6666666.754255.peg.1051	integrase/recombinase%2C fragment (putative)	
6666666.754255.peg.1052	ATP-dependent Clp protease%2C ATP-binding subunit ClpE	
6666666.754255.peg.1053	FIG00742907: hypothetical protein	
6666666.754255.peg.1054	Phosphotransferase system%2C phosphocarrier protein HPr	
6666666.754255.peg.1055	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	KEGG_ENZYME:2.7.3.9
6666666.754255.peg.1056	1%2C2-diacylglycerol 3-glucosyltransferase (EC 2.4.1.337)	KEGG_ENZYME:2.4.1.337
6666666.754255.peg.1057	Glycosyltransferase LafB%2C responsible for the formation of Gal-Glc-DAG	
6666666.754255.peg.1058	Integral membrane protein LafC%2C accessory function in glycolipid and LTA synthesis	
6666666.754255.peg.1059	D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)	KEGG_ENZYME:3.4.16.4
6666666.754255.peg.1060	Aspartate aminotransferase (EC 2.6.1.1)	KEGG_ENZYME:2.6.1.1
6666666.754255.peg.1061	FIG00745454: hypothetical protein	
6666666.754255.peg.1062	Lipoteichoic acid synthase LtaS Type IIa	
6666666.754255.peg.1063	Adenine phosphoribosyltransferase (EC 2.4.2.7)	KEGG_ENZYME:2.4.2.7
6666666.754255.peg.1064	Guanine/hypoxanthine permease	
6666666.754255.peg.1065	FIG00746103: hypothetical protein	
6666666.754255.peg.1066	Histone acetyltransferase HPA2 and related acetyltransferases	
6666666.754255.peg.1067	Diadenosine tetraphosphatase and related serine/threonine protein phosphatases	
6666666.754255.peg.1068	hypothetical protein	
6666666.754255.peg.1069	hypothetical protein	
6666666.754255.peg.1070	Manganese transport protein MntH	
6666666.754255.peg.1071	Ferrochelatase%2C protoheme ferro-lyase (EC 4.99.1.1)	KEGG_ENZYME:4.99.1.1
6666666.754255.peg.1072	S-methylmethionine permease	
6666666.754255.peg.1073	Homocysteine S-methyltransferase (EC 2.1.1.10)	KEGG_ENZYME:2.1.1.10
6666666.754255.peg.1074	Poly(glycerol-phosphate) alpha-glucosyltransferase (EC 2.4.1.52)	KEGG_ENZYME:2.4.1.52
6666666.754255.peg.1075	FIG00747924: hypothetical protein	
6666666.754255.peg.1076	S-adenosylmethionine synthetase (EC 2.5.1.6)	KEGG_ENZYME:2.5.1.6
6666666.754255.peg.1077	Uncharacterized MFS-type transporter	
6666666.754255.peg.1078	Phage tail fiber protein	
6666666.754255.peg.1079	Mobile element protein	
6666666.754255.peg.1080	poly (glycerol-phosphate) alpha-glucosyltransferase	
6666666.754255.peg.1081	Poly(glycerol-phosphate) alpha-glucosyltransferase (EC 2.4.1.52)	KEGG_ENZYME:2.4.1.52
6666666.754255.peg.1082	Poly(glycerol-phosphate) alpha-glucosyltransferase (EC 2.4.1.52)	KEGG_ENZYME:2.4.1.52
6666666.754255.peg.1083	FIG00749497: hypothetical protein	
6666666.754255.peg.1084	Putative rRNA methylase YtqB	
6666666.754255.peg.1085	putative membrane-associated phospholipid phosphatase%2C PAP2 superfamily	
6666666.754255.peg.1086	Leucyl-tRNA synthetase (EC 6.1.1.4)	KEGG_ENZYME:6.1.1.4
6666666.754255.peg.1087	Probable cell division protein YtgP	
6666666.754255.peg.1088	SSU rRNA pseudouridine(516) synthase (EC 5.4.99.19)	KEGG_ENZYME:5.4.99.19
6666666.754255.peg.1089	ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136)	KEGG_ENZYME:4.2.1.136
6666666.754255.peg.1090	Putative Xaa-His dipeptidase	
6666666.754255.peg.1091	Universal stress protein family	
6666666.754255.peg.1092	Glycerol-3-phosphate ABC transporter%2C ATP-binding protein UgpC (TC 3.A.1.1.3)	
6666666.754255.peg.1093	Glycerol-3-phosphate ABC transporter%2C permease protein UgpA (TC 3.A.1.1.3)	
6666666.754255.peg.1094	Glycerol-3-phosphate ABC transporter%2C permease protein UgpE (TC 3.A.1.1.3)	
6666666.754255.peg.1095	Glycerol-3-phosphate ABC transporter%2C periplasmic glycerol-3-phosphate-binding protein (TC 3.A.1.1.3)	
6666666.754255.peg.1096	Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)	KEGG_ENZYME:3.1.4.46
6666666.754255.peg.1097	Deoxyadenosine kinase (EC 2.7.1.76) @ Deoxyguanosine kinase (EC 2.7.1.113)	KEGG_ENZYME:2.7.1.76,KEGG_ENZYME:2.7.1.113
6666666.754255.peg.1098	Large-conductance mechanosensitive channel	
6666666.754255.peg.1099	Phage infection protein	
6666666.754255.peg.1100	Phage infection protein	
6666666.754255.peg.1101	FIG00750900: hypothetical protein	
6666666.754255.peg.1102	ABC transporter%2C permease protein	
6666666.754255.peg.1103	Efflux ABC transporter%2C ATP-binding protein	
6666666.754255.peg.1104	ABC transporter%2C ATP-binding protein	
6666666.754255.peg.1105	Peptide-methionine (S)-S-oxide reductase MsrA (EC 1.8.4.11) / Peptide-methionine (R)-S-oxide reductase MsrB (EC 1.8.4.12)	KEGG_ENZYME:1.8.4.11,KEGG_ENZYME:1.8.4.12
6666666.754255.peg.1106	hypothetical protein	
6666666.754255.peg.1107	transcriptional regulator%2C MerR family	
6666666.754255.peg.1108	FIG00743358: hypothetical protein	
6666666.754255.peg.1109	transport protein	
6666666.754255.peg.1110	hydrolase%2C HAD superfamily%2C Cof family	
6666666.754255.peg.1111	hypothetical protein	
6666666.754255.peg.1112	FIG00750130: hypothetical protein	
6666666.754255.peg.1113	Response regulator of the competence regulon ComE	
6666666.754255.peg.1114	extracellular protein%2C membrane-anchored (putative)	
6666666.754255.peg.1115	integral membrane protein	
6666666.754255.peg.1116	membrane-bound protease%2C CAAX family	
6666666.754255.peg.1117	Mobile element protein	
6666666.754255.peg.1118	Organic hydroperoxide resistance transcriptional regulator	
6666666.754255.peg.1119	hypothetical protein	
6666666.754255.peg.1120	hypothetical protein	
6666666.754255.peg.1121	Excinuclease ABC subunit A paralog of unknown function	
6666666.754255.peg.1122	Transposase%2C IS4 family	
6666666.754255.peg.1123	Integrase	
6666666.754255.peg.1124	hypothetical protein	
6666666.754255.peg.1125	hypothetical protein	
6666666.754255.peg.1126	FIG00906174: hypothetical protein	
6666666.754255.peg.1127	hypothetical protein	
6666666.754255.peg.1128	hypothetical protein	
6666666.754255.peg.1129	hypothetical protein	
6666666.754255.peg.1130	conserved hypothetical protein	
6666666.754255.peg.1131	hypothetical protein	
6666666.754255.peg.1132	hypothetical protein	
6666666.754255.peg.1133	Phage transcriptional regulator%2C Cro/CI family	
6666666.754255.peg.1134	hypothetical protein	
6666666.754255.peg.1135	Tec protein	
6666666.754255.peg.1136	hypothetical protein	
6666666.754255.peg.1137	hypothetical protein	
6666666.754255.peg.1138	hypothetical protein	
6666666.754255.peg.1139	hypothetical protein	
6666666.754255.peg.1140	hypothetical protein	
6666666.754255.peg.1141	Phage protein	
6666666.754255.peg.1142	NTP-binding protein	
6666666.754255.peg.1143	Phage protein	
6666666.754255.peg.1144	Phage protein	
6666666.754255.peg.1145	hypothetical protein	
6666666.754255.peg.1146	Phage replication initiation protein	
6666666.754255.peg.1147	DNA replication protein	
6666666.754255.peg.1148	hypothetical protein	
6666666.754255.peg.1149	hypothetical protein	
6666666.754255.peg.1150	hypothetical protein	
6666666.754255.peg.1151	hypothetical protein	
6666666.754255.peg.1152	prophage Lp2 protein 25	
6666666.754255.peg.1153	hypothetical protein	
6666666.754255.peg.1154	hypothetical protein	
6666666.754255.peg.1155	prophage Lp1 protein 32	
6666666.754255.peg.1156	Integrase regulator RinA	
6666666.754255.peg.1157	hypothetical protein	
6666666.754255.peg.1158	hypothetical protein	
6666666.754255.peg.1159	hypothetical protein	
6666666.754255.peg.1160	hypothetical protein	
6666666.754255.peg.1161	Restriction endonuclease	
6666666.754255.peg.1162	Phage terminase%2C small subunit	
6666666.754255.peg.1163	Phage terminase%2C large subunit	
6666666.754255.peg.1164	hypothetical protein	
6666666.754255.peg.1165	Phage portal protein	
6666666.754255.peg.1166	Prophage Clp protease-like protein	
6666666.754255.peg.1167	Phage capsid protein	
6666666.754255.peg.1168	Phage DNA packaging	
6666666.754255.peg.1169	hypothetical protein	
6666666.754255.peg.1170	hypothetical protein	
6666666.754255.peg.1171	hypothetical protein	
6666666.754255.peg.1172	Phage major tail protein	
6666666.754255.peg.1173	hypothetical protein	
6666666.754255.peg.1174	hypothetical protein	
6666666.754255.peg.1175	Phage tail length tape-measure protein	
6666666.754255.peg.1176	FIG00906232: hypothetical protein	
6666666.754255.peg.1177	phage minor structural protein%2C N-terminal region domain protein	
6666666.754255.peg.1178	orf97	
6666666.754255.peg.1179	hypothetical protein	
6666666.754255.peg.1180	FIG00748828: hypothetical protein	
6666666.754255.peg.1181	prophage Lp2 protein 53	
6666666.754255.peg.1182	Lysin	
6666666.754255.peg.1183	FIG00906256: hypothetical protein	
6666666.754255.peg.1184	hypothetical protein	
6666666.754255.peg.1185	Integrase	
6666666.754255.peg.1186	hypothetical protein	
6666666.754255.peg.1187	prophage Lp2 protein 8	
6666666.754255.peg.1188	Putative transcriptional repressor (ACLAME 12)	
6666666.754255.peg.1189	hypothetical protein	
6666666.754255.peg.1190	hypothetical protein	
6666666.754255.peg.1191	hypothetical protein	
6666666.754255.peg.1192	Phage protein	
6666666.754255.peg.1193	hypothetical protein	
6666666.754255.peg.1194	hypothetical protein	
6666666.754255.peg.1195	hypothetical protein	
6666666.754255.peg.1196	hypothetical protein	
6666666.754255.peg.1197	hypothetical protein	
6666666.754255.peg.1198	Phage DNA helicase	
6666666.754255.peg.1199	hypothetical protein	
6666666.754255.peg.1200	FIG00742318: hypothetical protein	
6666666.754255.peg.1201	FIG00749178: hypothetical protein	
6666666.754255.peg.1202	putative replication protein	
6666666.754255.peg.1203	FIG00743747: hypothetical protein	
6666666.754255.peg.1204	Mobile element protein	
6666666.754255.peg.1205	conserved hypothetical protein - phage associated	
6666666.754255.peg.1206	prophage Lp2 protein 25	
6666666.754255.peg.1207	hypothetical protein	
6666666.754255.peg.1208	hypothetical protein	
6666666.754255.peg.1209	hypothetical protein	
6666666.754255.peg.1210	hypothetical protein	
6666666.754255.peg.1211	hypothetical protein	
6666666.754255.peg.1212	hypothetical protein	
6666666.754255.peg.1213	hypothetical protein	
6666666.754255.peg.1214	Small conserved membrane protein	
6666666.754255.peg.1215	hypothetical protein	
6666666.754255.peg.1216	Phage-associated homing endonuclease	
6666666.754255.peg.1217	hypothetical protein	
6666666.754255.peg.1218	hypothetical protein	
6666666.754255.peg.1219	Phage terminase%2C large subunit	
6666666.754255.peg.1220	Portal protein%2C phage associated	
6666666.754255.peg.1221	Prophage Clp protease-like protein	
6666666.754255.peg.1222	Phage major capsid protein	
6666666.754255.peg.1223	Phage protein	
6666666.754255.peg.1224	Phage protein	
6666666.754255.peg.1225	hypothetical protein	
6666666.754255.peg.1226	FIG00775153: hypothetical protein	
6666666.754255.peg.1227	Phage major tail protein	
6666666.754255.peg.1228	hypothetical protein	
6666666.754255.peg.1229	hypothetical protein	
6666666.754255.peg.1230	Phage tail length tape-measure protein	
6666666.754255.peg.1231	hypothetical protein	
6666666.754255.peg.1232	Phage tail length tape-measure protein	
6666666.754255.peg.1233	Putative tail or base plate protein gp17 [Bacteriophage A118]	
6666666.754255.peg.1234	Phage tail length tape-measure protein	
6666666.754255.peg.1235	hypothetical protein	
6666666.754255.peg.1236	hypothetical protein	
6666666.754255.peg.1237	prophage Lp2 protein 52	
6666666.754255.peg.1238	hypothetical protein	
6666666.754255.peg.1239	hypothetical protein	
6666666.754255.peg.1240	hypothetical protein	
6666666.754255.peg.1241	hypothetical protein	
6666666.754255.peg.1242	Lysin	
6666666.754255.peg.1243	lipoprotein precursor (putative)	
6666666.754255.peg.1244	hypothetical protein	
6666666.754255.peg.1245	FIG00745551: hypothetical protein	
6666666.754255.peg.1246	Teichoic acid glycosylation protein	
6666666.754255.peg.1247	putative membrane protein	
6666666.754255.peg.1248	5%2C10-methylenetetrahydrofolate reductase (EC 1.5.1.20) / Homolog of homocysteine-binding domain	KEGG_ENZYME:1.5.1.20
6666666.754255.peg.1249	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14)	KEGG_ENZYME:2.1.1.14
6666666.754255.peg.1250	Mobile element protein	
6666666.754255.peg.1251	Mobile element protein	
6666666.754255.peg.1252	FIG00743353: hypothetical protein	
6666666.754255.peg.1253	Sulfate adenylyltransferase (EC 2.7.7.4)	KEGG_ENZYME:2.7.7.4
6666666.754255.peg.1254	Adenylylsulfate kinase (EC 2.7.1.25)	KEGG_ENZYME:2.7.1.25
6666666.754255.peg.1255	3'-to-5' oligoribonuclease A%2C Bacillus type	
6666666.754255.peg.1256	hypothetical protein	
6666666.754255.peg.1257	FIG00744146: hypothetical protein	
6666666.754255.peg.1258	sodium/sulfate symport protein (putative)	
6666666.754255.peg.1259	Multi antimicrobial extrusion protein (Na(+)/drug antiporter)%2C MATE family of MDR efflux pumps	
6666666.754255.peg.1260	hypothetical protein	
6666666.754255.peg.1261	N-acetyltransferase ElaA	
6666666.754255.peg.1262	Arginyl-tRNA synthetase (EC 6.1.1.19)	KEGG_ENZYME:6.1.1.19
6666666.754255.peg.1263	FIG00751738: hypothetical protein	
6666666.754255.peg.1264	Macrolide export ATP-binding/permease protein	
6666666.754255.peg.1265	hypothetical protein	
6666666.754255.peg.1266	transcription regulator levR (putative)	
6666666.754255.peg.1267	Mobile element protein	
6666666.754255.peg.1268	transcription regulator levR (putative)	
6666666.754255.peg.1269	Mobile element protein	
6666666.754255.peg.1270	FIG00746192: hypothetical protein	
6666666.754255.peg.1271	PTS system%2C cellobiose-specific IIA component (EC 2.7.1.205)	KEGG_ENZYME:2.7.1.205
6666666.754255.peg.1272	PTS system%2C beta-glucoside-specific IIB component @ PTS system%2C cellobiose-specific IIB component (EC 2.7.1.205)	KEGG_ENZYME:2.7.1.205
6666666.754255.peg.1273	PTS system%2C cellobiose-specific IIC component	
6666666.754255.peg.1274	6-phospho-beta-glucosidase (EC 3.2.1.86)	KEGG_ENZYME:3.2.1.86
6666666.754255.peg.1275	transport protein	
6666666.754255.peg.1276	transport protein	
6666666.754255.peg.1277	L%2CD-transpeptidase	
6666666.754255.peg.1278	D-alanine--poly(phosphoribitol) ligase ACP subunit (EC 6.1.1.13)	KEGG_ENZYME:6.1.1.13
6666666.754255.peg.1279	Transcriptional regulator%2C GntR family domain / Aspartate aminotransferase (EC 2.6.1.1)	KEGG_ENZYME:2.6.1.1
6666666.754255.peg.1280	Transporter%2C LysE family	
6666666.754255.peg.1281	Aspartate aminotransferase (EC 2.6.1.1)	KEGG_ENZYME:2.6.1.1
6666666.754255.peg.1282	Arginine pathway regulatory protein ArgR%2C repressor of arg regulon	
6666666.754255.peg.1283	hypothetical protein	
